~~ Start logging ~~
2025-01-16 23:29:24.617 INFO Found the following version folder: ['0.10.0', '0.11.0', '0.12.0', '0.13.0', '0.14.0', '0.15.0', '0.16.0', '0.17.0', '0.18.0', '0.19.0', '0.20.0', '0.21.0', '0.22.0', '0.3.0', '0.4.1', '0.5.0', '0.6.0', '0.7.0', '0.8.0', '0.9.0']
2025-01-16 23:29:24.754 INFO Processing version folder: 0.10.0
2025-01-16 23:29:24.760 INFO   Create and checkout to a new branch: Modify-n0-computer.sendme-0.10.0
2025-01-16 23:29:29.124 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.10.0\n0-computer.sendme.installer.yaml
2025-01-16 23:29:29.124 INFO     Replace ManifestVersion: 1.6.0 -> 1.9.0
2025-01-16 23:29:29.127 INFO     Replace schema references: 1.6.0.schema.json -> 1.9.0.schema.json
2025-01-16 23:29:29.127 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.10.0\n0-computer.sendme.installer.yaml
2025-01-16 23:29:29.127 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.10.0\n0-computer.sendme.locale.en-US.yaml
2025-01-16 23:29:29.127 INFO     Replace ManifestVersion: 1.6.0 -> 1.9.0
2025-01-16 23:29:29.127 INFO     Replace schema references: 1.6.0.schema.json -> 1.9.0.schema.json
2025-01-16 23:29:29.127 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.10.0\n0-computer.sendme.locale.en-US.yaml
2025-01-16 23:29:29.127 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.10.0\n0-computer.sendme.yaml
2025-01-16 23:29:29.134 INFO     Replace ManifestVersion: 1.6.0 -> 1.9.0
2025-01-16 23:29:29.134 INFO     Replace schema references: 1.6.0.schema.json -> 1.9.0.schema.json
2025-01-16 23:29:29.134 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.10.0\n0-computer.sendme.yaml
2025-01-16 23:29:29.134 INFO   Create a new locale manifest file: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.10.0\n0-computer.sendme.locale.zh-CN.yaml
2025-01-16 23:29:29.138 INFO     New locale manifest file created: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.10.0\n0-computer.sendme.locale.zh-CN.yaml
2025-01-16 23:29:29.138 INFO   Staging and Committing Changes to Git
2025-01-16 23:29:33.650 INFO     Commit message: Modify: Zype.Compass version 0.10.0 (Auto)
2025-01-16 23:29:33.650 INFO   Pushing changes to remote (origin) repository
2025-01-16 23:29:44.466 INFO     Successfully pushed to remote (origin): Modify-n0-computer.sendme-0.10.0
2025-01-16 23:29:47.227 INFO     Pull request created successfully: https://github.com/microsoft/winget-pkgs/pull/212798
2025-01-16 23:29:47.229 INFO Processing version folder: 0.11.0
2025-01-16 23:29:47.230 INFO   Create and checkout to a new branch: Modify-n0-computer.sendme-0.11.0
2025-01-16 23:29:52.168 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.11.0\n0-computer.sendme.installer.yaml
2025-01-16 23:29:52.177 INFO     Replace ManifestVersion: 1.6.0 -> 1.9.0
2025-01-16 23:29:52.177 INFO     Replace schema references: 1.6.0.schema.json -> 1.9.0.schema.json
2025-01-16 23:29:52.179 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.11.0\n0-computer.sendme.installer.yaml
2025-01-16 23:29:52.179 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.11.0\n0-computer.sendme.locale.en-US.yaml
2025-01-16 23:29:52.179 INFO     Replace ManifestVersion: 1.6.0 -> 1.9.0
2025-01-16 23:29:52.179 INFO     Replace schema references: 1.6.0.schema.json -> 1.9.0.schema.json
2025-01-16 23:29:52.179 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.11.0\n0-computer.sendme.locale.en-US.yaml
2025-01-16 23:29:52.187 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.11.0\n0-computer.sendme.yaml
2025-01-16 23:29:52.190 INFO     Replace ManifestVersion: 1.6.0 -> 1.9.0
2025-01-16 23:29:52.190 INFO     Replace schema references: 1.6.0.schema.json -> 1.9.0.schema.json
2025-01-16 23:29:52.190 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\n\n0-computer\sendme\0.11.0\n0-computer.sendme.yaml
