~~ Start logging ~~
2025-03-17 23:53:44.214 FUN 啊对对对。
2025-03-17 23:53:44.214 INFO Found the following version folder: ['1.0.1', '1.0.10', '1.0.11', '1.0.2', '1.0.3', '1.0.4', '1.0.5', '1.0.6', '1.0.7', '1.0.8', '1.0.9', '1.1.0', '1.1.1', '1.1.2', '1.1.3']
2025-03-17 23:53:44.323 INFO Skip version 1.0.1, because it's not in the list of versions to be modified.
2025-03-17 23:53:44.323 INFO Skip version 1.0.10, because it's not in the list of versions to be modified.
2025-03-17 23:53:44.323 INFO Skip version 1.0.11, because it's not in the list of versions to be modified.
2025-03-17 23:53:44.323 INFO Skip version 1.0.2, because it's not in the list of versions to be modified.
2025-03-17 23:53:44.323 INFO Skip version 1.0.3, because it's not in the list of versions to be modified.
2025-03-17 23:53:44.323 INFO Skip version 1.0.4, because it's not in the list of versions to be modified.
2025-03-17 23:53:44.323 INFO Skip version 1.0.5, because it's not in the list of versions to be modified.
2025-03-17 23:53:44.339 INFO Skip version 1.0.6, because it's not in the list of versions to be modified.
2025-03-17 23:53:44.339 INFO Skip version 1.0.7, because it's not in the list of versions to be modified.
2025-03-17 23:53:44.339 INFO Skip version 1.0.8, because it's not in the list of versions to be modified.
2025-03-17 23:53:44.339 INFO Skip version 1.0.9, because it's not in the list of versions to be modified.
2025-03-17 23:53:44.339 INFO Skip version 1.1.0, because it's not in the list of versions to be modified.
2025-03-17 23:53:44.339 INFO Skip version 1.1.1, because it's not in the list of versions to be modified.
2025-03-17 23:53:44.339 INFO Skip version 1.1.2, because it's not in the list of versions to be modified.
2025-03-17 23:53:44.339 INFO Processing version folder: 1.1.3
2025-03-17 23:53:44.339 INFO   Create and checkout to a new branch: NewVersion-DuckStudio.Sundry-1.1.3
2025-03-17 23:53:49.443 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\d\DuckStudio\Sundry\1.1.3\DuckStudio.Sundry.installer.yaml
2025-03-17 23:53:49.443 INFO     Replace ManifestVersion: 1.9.0 -> 1.10.0
2025-03-17 23:53:49.443 INFO     Replace schema references: 1.9.0.schema.json -> 1.10.0.schema.json
2025-03-17 23:53:49.443 INFO     Cleaned up DuckStudio.Sundry.installer.yaml
2025-03-17 23:53:49.443 INFO     The manifest file has been saved as: D:\...\winget-pkgs\manifests\d\DuckStudio\Sundry\1.1.3\DuckStudio.Sundry.installer.yaml
2025-03-17 23:53:49.647 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\d\DuckStudio\Sundry\1.1.3\DuckStudio.Sundry.locale.en-US.yaml
2025-03-17 23:53:49.663 INFO     Replace ManifestVersion: 1.9.0 -> 1.10.0
2025-03-17 23:53:49.663 INFO     Replace schema references: 1.9.0.schema.json -> 1.10.0.schema.json
2025-03-17 23:53:49.663 INFO     Cleaned up DuckStudio.Sundry.locale.en-US.yaml
2025-03-17 23:53:49.663 INFO     The manifest file has been saved as: D:\...\winget-pkgs\manifests\d\DuckStudio\Sundry\1.1.3\DuckStudio.Sundry.locale.en-US.yaml
2025-03-17 23:53:49.725 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\d\DuckStudio\Sundry\1.1.3\DuckStudio.Sundry.locale.zh-CN.yaml
2025-03-17 23:53:49.725 INFO     Replace ManifestVersion: 1.9.0 -> 1.10.0
2025-03-17 23:53:49.741 INFO     Replace schema references: 1.9.0.schema.json -> 1.10.0.schema.json
2025-03-17 23:53:49.741 INFO     Cleaned up DuckStudio.Sundry.locale.zh-CN.yaml
2025-03-17 23:53:49.741 INFO     The manifest file has been saved as: D:\...\winget-pkgs\manifests\d\DuckStudio\Sundry\1.1.3\DuckStudio.Sundry.locale.zh-CN.yaml
2025-03-17 23:53:49.819 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\d\DuckStudio\Sundry\1.1.3\DuckStudio.Sundry.yaml
2025-03-17 23:53:49.819 INFO     Replace ManifestVersion: 1.9.0 -> 1.10.0
2025-03-17 23:53:49.819 INFO     Replace schema references: 1.9.0.schema.json -> 1.10.0.schema.json
2025-03-17 23:53:49.819 INFO     Cleaned up DuckStudio.Sundry.yaml
2025-03-17 23:53:49.819 INFO     The manifest file has been saved as: D:\...\winget-pkgs\manifests\d\DuckStudio\Sundry\1.1.3\DuckStudio.Sundry.yaml
2025-03-17 23:53:49.897 INFO   New manifests in D:\...\winget-pkgs\manifests\d\DuckStudio\Sundry\1.1.3 for DuckStudio.Sundry (1.10.0)
2025-03-18 00:06:22.793 INFO     清单具有以下未验证的依赖项;确保它们有效：
2025-03-18 00:06:22.793 INFO       - 程序包
2025-03-18 00:06:22.793 INFO           DuckStudio.GitHubLabelsManager
2025-03-18 00:06:22.793 INFO           Git.Git
2025-03-18 00:06:22.793 INFO           GitHub.cli
2025-03-18 00:06:22.793 INFO     清单验证成功。
2025-03-18 00:06:22.809 INFO   Staging and Committing Changes to Git
2025-03-18 00:06:34.198 INFO     Commit message: New version: DuckStudio.Sundry version 1.1.3 (Auto)
2025-03-18 00:06:34.198 INFO   Pushing changes to remote (origin) repository
2025-03-18 00:06:38.189 INFO     Successfully pushed to remote (origin): NewVersion-DuckStudio.Sundry-1.1.3
2025-03-18 00:06:41.250 INFO     Pull request created successfully: https://github.com/microsoft/winget-pkgs/pull/240688
2025-03-18 00:06:41.250 INFO All manifests have been modified and pushed through.
2025-03-18 00:06:44.676 INFO Workspace clean-up completed.
~~ End of logging ~~
