~~ Start logging ~~
2025-02-08 16:21:59.593 FUN Just do it!
2025-02-08 16:21:59.595 INFO Found the following version folder: ['2024.06.24.2036', '2024.06.30.1356', '2024.07.02.1330', '2024.07.03.0000', '2024.07.25.2030', '2024.08.01.0000', '2024.09.08.2000', '2024.09.26.2000', '2024.10.01.0630', '2024.11.27.2000', '2025.01.02.2300', '2025.02.03.2358']
2025-02-08 16:21:59.706 INFO Skip version 2024.06.24.2036, because it's not in the list of versions to be modified.
2025-02-08 16:21:59.706 INFO Skip version 2024.06.30.1356, because it's not in the list of versions to be modified.
2025-02-08 16:21:59.706 INFO Skip version 2024.07.02.1330, because it's not in the list of versions to be modified.
2025-02-08 16:21:59.722 INFO Skip version 2024.07.03.0000, because it's not in the list of versions to be modified.
2025-02-08 16:21:59.722 INFO Skip version 2024.07.25.2030, because it's not in the list of versions to be modified.
2025-02-08 16:21:59.722 INFO Skip version 2024.08.01.0000, because it's not in the list of versions to be modified.
2025-02-08 16:21:59.722 INFO Skip version 2024.09.08.2000, because it's not in the list of versions to be modified.
2025-02-08 16:21:59.722 INFO Skip version 2024.09.26.2000, because it's not in the list of versions to be modified.
2025-02-08 16:21:59.722 INFO Skip version 2024.10.01.0630, because it's not in the list of versions to be modified.
2025-02-08 16:21:59.722 INFO Skip version 2024.11.27.2000, because it's not in the list of versions to be modified.
2025-02-08 16:21:59.722 INFO Skip version 2025.01.02.2300, because it's not in the list of versions to be modified.
2025-02-08 16:21:59.722 INFO Processing version folder: 2025.02.03.2358
2025-02-08 16:21:59.731 INFO   Create and checkout to a new branch: Modify-DuckStudio.FufuDevTools-2025.02.03.2358
2025-02-08 16:22:07.279 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\d\DuckStudio\FufuDevTools\2025.02.03.2358\DuckStudio.FufuDevTools.installer.yaml
2025-02-08 16:22:07.280 WARNING   This is a semi-automatic process, the automation will not make substantial changes to the manifest, only formatting.
2025-02-08 16:22:07.282 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\d\DuckStudio\FufuDevTools\2025.02.03.2358\DuckStudio.FufuDevTools.installer.yaml
2025-02-08 16:22:07.284 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\d\DuckStudio\FufuDevTools\2025.02.03.2358\DuckStudio.FufuDevTools.locale.en-GB.yaml
2025-02-08 16:22:07.286 WARNING   This is a semi-automatic process, the automation will not make substantial changes to the manifest, only formatting.
2025-02-08 16:22:07.287 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\d\DuckStudio\FufuDevTools\2025.02.03.2358\DuckStudio.FufuDevTools.locale.en-GB.yaml
2025-02-08 16:22:07.289 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\d\DuckStudio\FufuDevTools\2025.02.03.2358\DuckStudio.FufuDevTools.locale.en-US.yaml
2025-02-08 16:22:07.291 WARNING   This is a semi-automatic process, the automation will not make substantial changes to the manifest, only formatting.
2025-02-08 16:22:07.293 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\d\DuckStudio\FufuDevTools\2025.02.03.2358\DuckStudio.FufuDevTools.locale.en-US.yaml
2025-02-08 16:22:07.295 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\d\DuckStudio\FufuDevTools\2025.02.03.2358\DuckStudio.FufuDevTools.locale.ja-JP.yaml
