~~ Start logging ~~
2025-03-01 12:46:32.759 FUN There are nothing.
2025-03-01 12:46:32.759 INFO Found the following version folder: ['1.7.0.3739', '2.0.0.4048', '2.1.0.4424', '2.1.1.4602', '2.2.0.4707', '2.3.0.5110', '2.4.5.6176', '2.4.5.6404', '2.5.1.6520', '2.6.0.7223', '2.7.0.7715', '2.7.0.7723', '2.8.0.7815', '2.8.5.7988', '2.9.0.8209', '2.9.5.8278', '3.0.0.8366', '3.0.5.8542', '3.1.0.8702', '3.1.0.8712', '3.2.0.8784', '3.3.0.9006', '3.3.0.9035', '3.4.0.9173', '3.4.1.9179', '3.5.0.9238', '3.6.0.9326', '3.6.5.9422', '3.7.0.9494', '3.7.1.9496', '3.7.2.9505', '3.7.3.9535', '3.8.0.9618', '3.9.0.9723', '4.0.0.9841', '4.0.1.9886', '4.1.0.10000', '4.2.0.10100', '4.2.1.10159', '4.3.0.10225', '4.3.1.10241', '4.4.0.10337', '4.5.0.10453', '4.5.1.10461', '4.5.2.10484', '4.6.0.10562', '4.6.1.10576', '4.7.1.10713', '4.7.2.10739', '4.8.0.10791', '4.9.0.10872', '5.0.0.10938', '5.1.0.11009', '5.3.0.11154', '5.4.0.11246', '5.5.0.11332', '5.6.0.11423', '5.7.0.11480', '5.8.0.11586', '5.9.0.11632', '6.0.0.11756', '6.0.1.11779', '6.1.0.11925', '6.1.0.11946', '6.3.0.12011', '6.6.0.12145', '6.8.0.12267', '7.0.0.12369', '7.0.0.12374', '7.1.0.12382', '7.2.0.12468', '7.2.0.12475', '7.3.0.12489', '7.4.0.12544', '7.5.0.12565', '7.6.0.12636', '7.7.0.12666']
2025-03-01 12:46:32.869 INFO Processing version folder: 1.7.0.3739
2025-03-01 12:46:32.869 INFO   Create and checkout to a new branch: Modify-ByteDance.JianyingPro-1.7.0.3739
2025-03-01 12:46:39.731 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\1.7.0.3739\ByteDance.JianyingPro.installer.yaml
2025-03-01 12:46:39.731 INFO     Replace ManifestVersion: 1.2.0 -> 1.9.0
2025-03-01 12:46:39.731 INFO     Replace schema references: 1.2.0.schema.json -> 1.9.0.schema.json
2025-03-01 12:46:39.731 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\1.7.0.3739\ByteDance.JianyingPro.installer.yaml
2025-03-01 12:46:39.731 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\1.7.0.3739\ByteDance.JianyingPro.locale.en-US.yaml
2025-03-01 12:46:39.731 INFO     Replace ManifestVersion: 1.2.0 -> 1.9.0
2025-03-01 12:46:39.731 INFO     Replace schema references: 1.2.0.schema.json -> 1.9.0.schema.json
2025-03-01 12:46:39.731 INFO     Replace defaultLocale -> locale
2025-03-01 12:46:39.731 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\1.7.0.3739\ByteDance.JianyingPro.locale.en-US.yaml
2025-03-01 12:46:39.731 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\1.7.0.3739\ByteDance.JianyingPro.locale.zh-CN.yaml
2025-03-01 12:46:39.731 INFO     Replace ManifestVersion: 1.2.0 -> 1.9.0
2025-03-01 12:46:39.731 INFO     Replace schema references: 1.2.0.schema.json -> 1.9.0.schema.json
2025-03-01 12:46:39.747 INFO     Replace ManifestType: locale -> defaultLocale
2025-03-01 12:46:39.747 INFO     Replace winget-manifest.locale -> winget-manifest.defaultLocale
2025-03-01 12:46:39.747 INFO     Replace # Moniker: -> Moniker: 剪映
