~~ Start logging ~~
2025-03-25 14:08:12.667 FUN 大意了，没有闪
2025-03-25 14:08:12.667 INFO Found the following version folder: ['1.0.1', '1.0.10', '1.0.11', '1.0.2', '1.0.3', '1.0.4', '1.0.5', '1.0.6', '1.0.7', '1.0.8', '1.0.9', '1.1.0', '1.1.1', '1.1.2', '1.1.3', '1.1.4', '1.1.6', '1.1.7', '1.1.8', '1.1.9']
2025-03-25 14:08:12.777 INFO Skip version 1.0.1, because it's not in the list of versions to be modified.
2025-03-25 14:08:12.777 INFO Skip version 1.0.10, because it's not in the list of versions to be modified.
2025-03-25 14:08:12.777 INFO Skip version 1.0.11, because it's not in the list of versions to be modified.
2025-03-25 14:08:12.777 INFO Skip version 1.0.2, because it's not in the list of versions to be modified.
2025-03-25 14:08:12.777 INFO Skip version 1.0.3, because it's not in the list of versions to be modified.
2025-03-25 14:08:12.777 INFO Skip version 1.0.4, because it's not in the list of versions to be modified.
2025-03-25 14:08:12.777 INFO Skip version 1.0.5, because it's not in the list of versions to be modified.
2025-03-25 14:08:12.777 INFO Skip version 1.0.6, because it's not in the list of versions to be modified.
2025-03-25 14:08:12.777 INFO Skip version 1.0.7, because it's not in the list of versions to be modified.
2025-03-25 14:08:12.777 INFO Skip version 1.0.8, because it's not in the list of versions to be modified.
2025-03-25 14:08:12.777 INFO Skip version 1.0.9, because it's not in the list of versions to be modified.
2025-03-25 14:08:12.792 INFO Skip version 1.1.0, because it's not in the list of versions to be modified.
2025-03-25 14:08:12.792 INFO Skip version 1.1.1, because it's not in the list of versions to be modified.
2025-03-25 14:08:12.792 INFO Skip version 1.1.2, because it's not in the list of versions to be modified.
2025-03-25 14:08:12.792 INFO Skip version 1.1.3, because it's not in the list of versions to be modified.
2025-03-25 14:08:12.792 INFO Skip version 1.1.4, because it's not in the list of versions to be modified.
2025-03-25 14:08:12.792 INFO Skip version 1.1.6, because it's not in the list of versions to be modified.
2025-03-25 14:08:12.792 INFO Skip version 1.1.7, because it's not in the list of versions to be modified.
2025-03-25 14:08:12.792 INFO Skip version 1.1.8, because it's not in the list of versions to be modified.
2025-03-25 14:08:12.792 INFO Processing version folder: 1.1.9
2025-03-25 14:08:12.792 INFO   Create and checkout to a new branch: NewVersion-DuckStudio.Sundry-1.1.9
2025-03-25 14:08:17.966 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\d\DuckStudio\Sundry\1.1.9\DuckStudio.Sundry.installer.yaml
2025-03-25 14:08:17.966 INFO     Replace ManifestVersion: 1.9.0 -> 1.10.0
2025-03-25 14:08:17.966 INFO     Replace schema references: 1.9.0.schema.json -> 1.10.0.schema.json
2025-03-25 14:08:17.982 INFO     Cleaned up DuckStudio.Sundry.installer.yaml
2025-03-25 14:08:17.982 INFO     The manifest file has been saved as: D:\...\winget-pkgs\manifests\d\DuckStudio\Sundry\1.1.9\DuckStudio.Sundry.installer.yaml
2025-03-25 14:08:18.122 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\d\DuckStudio\Sundry\1.1.9\DuckStudio.Sundry.locale.en-US.yaml
2025-03-25 14:08:18.138 INFO     Replace ManifestVersion: 1.9.0 -> 1.10.0
2025-03-25 14:08:18.138 INFO     Replace schema references: 1.9.0.schema.json -> 1.10.0.schema.json
2025-03-25 14:08:18.138 INFO     Cleaned up DuckStudio.Sundry.locale.en-US.yaml
2025-03-25 14:08:18.138 INFO     The manifest file has been saved as: D:\...\winget-pkgs\manifests\d\DuckStudio\Sundry\1.1.9\DuckStudio.Sundry.locale.en-US.yaml
2025-03-25 14:08:18.247 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\d\DuckStudio\Sundry\1.1.9\DuckStudio.Sundry.locale.zh-CN.yaml
2025-03-25 14:08:18.247 INFO     Replace ManifestVersion: 1.9.0 -> 1.10.0
2025-03-25 14:08:18.247 INFO     Replace schema references: 1.9.0.schema.json -> 1.10.0.schema.json
2025-03-25 14:08:18.247 INFO     Cleaned up DuckStudio.Sundry.locale.zh-CN.yaml
2025-03-25 14:08:18.247 INFO     The manifest file has been saved as: D:\...\winget-pkgs\manifests\d\DuckStudio\Sundry\1.1.9\DuckStudio.Sundry.locale.zh-CN.yaml
2025-03-25 14:08:18.372 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\d\DuckStudio\Sundry\1.1.9\DuckStudio.Sundry.yaml
2025-03-25 14:08:18.372 INFO     Replace ManifestVersion: 1.9.0 -> 1.10.0
2025-03-25 14:08:18.372 INFO     Replace schema references: 1.9.0.schema.json -> 1.10.0.schema.json
